mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__learning_rate,param_model__max_depth,param_model__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
6.290946960449219,2.9053487873580717,0.03963589668273926,0.002252970567744651,0.03,2,200,"{'model__learning_rate': 0.03, 'model__max_depth': 2, 'model__n_estimators': 200}",-1932.9323642352938,-2014.8262119466306,-1997.9629377639765,-1912.173360954635,-1962.7958361705219,-1964.1381422142117,38.44304374869931,27
9.29272003173828,4.255370189747999,0.046857023239135744,0.003116293443962172,0.03,2,300,"{'model__learning_rate': 0.03, 'model__max_depth': 2, 'model__n_estimators': 300}",-1908.6721927585218,-1974.1619400616312,-1953.7789409123998,-1859.6566854389728,-1905.4989249698579,-1920.3537368282766,40.13433183155217,26
12.219415712356568,5.62231628311739,0.05023832321166992,0.0017004246022826383,0.03,2,400,"{'model__learning_rate': 0.03, 'model__max_depth': 2, 'model__n_estimators': 400}",-1898.3289186580873,-1951.9034332698118,-1934.5644465633823,-1841.1204542202936,-1887.0185912137476,-1902.5871687850645,38.712557492282194,24
8.910109710693359,4.161959909207193,0.044448041915893556,0.0013947668123290265,0.03,3,200,"{'model__learning_rate': 0.03, 'model__max_depth': 3, 'model__n_estimators': 200}",-1775.5866077587525,-1824.8783660406655,-1780.0897686591752,-1722.9539854245436,-1742.872843764667,-1769.2763143295608,34.90341004899469,18
14.038140487670898,7.037961540271307,0.0662933349609375,0.011177119774885731,0.03,3,300,"{'model__learning_rate': 0.03, 'model__max_depth': 3, 'model__n_estimators': 300}",-1769.7414982697244,-1806.4958437290636,-1751.3354917946392,-1689.4785167070863,-1716.6328264378005,-1746.7368353876627,40.75847800395441,17
19.83717861175537,9.63502724709633,0.07068686485290528,0.006313434287977363,0.03,3,400,"{'model__learning_rate': 0.03, 'model__max_depth': 3, 'model__n_estimators': 400}",-1774.674666258357,-1802.7150617183574,-1729.6930835006096,-1670.4768134051194,-1700.0014690106273,-1735.512218778614,48.113197832508526,14
13.3001380443573,6.274533286781987,0.05512204170227051,0.0031206457437302575,0.03,4,200,"{'model__learning_rate': 0.03, 'model__max_depth': 4, 'model__n_estimators': 200}",-1728.704047881301,-1755.9742969473823,-1704.1065100071582,-1634.7270784807574,-1654.5491089983605,-1695.612208462992,45.175174402770296,7
19.43527274131775,8.872075970458855,0.0764993667602539,0.014167567416347908,0.03,4,300,"{'model__learning_rate': 0.03, 'model__max_depth': 4, 'model__n_estimators': 300}",-1727.532361891205,-1750.007090234528,-1684.000027934192,-1623.6970095528875,-1639.0875066341127,-1684.864799249385,48.78902708920003,3
28.201150798797606,15.110013136440006,0.11585297584533691,0.04271779721966447,0.03,4,400,"{'model__learning_rate': 0.03, 'model__max_depth': 4, 'model__n_estimators': 400}",-1729.8640746826607,-1758.519504917149,-1679.3927364037957,-1623.2698017375446,-1635.9191248970783,-1685.3930485276458,52.2840730014344,4
7.196817111968994,3.992973365506184,0.045726871490478514,0.008863189696086377,0.05,2,200,"{'model__learning_rate': 0.05, 'model__max_depth': 2, 'model__n_estimators': 200}",-1902.6760884790003,-1966.70057262013,-1943.2705973086736,-1861.9271413678407,-1906.1805913485632,-1916.1509982248415,36.088615890328114,25
12.090713024139404,5.907163467088391,0.08099541664123536,0.011421810575698015,0.05,2,300,"{'model__learning_rate': 0.05, 'model__max_depth': 2, 'model__n_estimators': 300}",-1893.5911081865422,-1945.699112799149,-1915.109715640436,-1838.3445552607295,-1880.001452353302,-1894.549188848032,35.80660658186741,23
17.0564181804657,8.617758825739738,0.10368819236755371,0.03604925767909509,0.05,2,400,"{'model__learning_rate': 0.05, 'model__max_depth': 2, 'model__n_estimators': 400}",-1872.6512276697413,-1925.1487325683236,-1893.8499032850384,-1813.4319639728217,-1853.680234819263,-1871.7524124630377,37.59827731978808,22
13.820675706863403,6.908167977085228,0.07835283279418945,0.021326287793478883,0.05,3,200,"{'model__learning_rate': 0.05, 'model__max_depth': 3, 'model__n_estimators': 200}",-1763.4343568868615,-1804.422478940944,-1744.610209612593,-1683.6587104861105,-1707.8850721073482,-1740.8021656067715,42.24493119323056,15
21.170906591415406,10.057449975226008,0.1328563690185547,0.04877894664853677,0.05,3,300,"{'model__learning_rate': 0.05, 'model__max_depth': 3, 'model__n_estimators': 300}",-1770.8670896823658,-1802.7209038317037,-1727.1733514572315,-1663.7470257086254,-1690.749037043897,-1731.0514815447646,50.77598929303252,11
26.87988920211792,11.322999026456177,0.1399256706237793,0.03389319077580505,0.05,3,400,"{'model__learning_rate': 0.05, 'model__max_depth': 3, 'model__n_estimators': 400}",-1773.1081011336705,-1803.2623578931161,-1723.2512496411439,-1657.3090301255195,-1683.6990568630195,-1728.1259591312942,54.18749189544502,10
16.38902339935303,6.3955489112549895,0.0952545166015625,0.01830155119958337,0.05,4,200,"{'model__learning_rate': 0.05, 'model__max_depth': 4, 'model__n_estimators': 200}",-1721.069623471311,-1752.9230262411947,-1680.8501674228694,-1620.4191751625851,-1639.7176670311912,-1682.9959318658305,49.26026291421787,1
24.020167732238768,12.457461533031127,0.08911552429199218,0.013157884133461781,0.05,4,300,"{'model__learning_rate': 0.05, 'model__max_depth': 4, 'model__n_estimators': 300}",-1728.9248088472993,-1762.4358359785879,-1673.6454988243652,-1618.2708346158097,-1637.4228603792426,-1684.139967729061,54.34572600076371,2
34.99405393600464,17.16072767133299,0.11241950988769531,0.021361114982169707,0.05,4,400,"{'model__learning_rate': 0.05, 'model__max_depth': 4, 'model__n_estimators': 400}",-1741.552388095073,-1768.8077559576666,-1672.3872778993723,-1619.606761764719,-1639.0941200122707,-1688.2896607458201,57.810914889723506,5
9.684149789810181,5.23382260429518,0.07966580390930175,0.04156401051322931,0.1,2,200,"{'model__learning_rate': 0.1, 'model__max_depth': 2, 'model__n_estimators': 200}",-1860.520320040624,-1925.4769479969718,-1891.2890589958783,-1808.8012257279954,-1846.2264091860081,-1866.4627923894957,39.67037818904361,21
14.702750873565673,6.359035120737002,0.06477150917053223,0.00524001830217579,0.1,2,300,"{'model__learning_rate': 0.1, 'model__max_depth': 2, 'model__n_estimators': 300}",-1861.5591433637076,-1899.3987210325256,-1852.3309620229738,-1774.637936815563,-1808.8983525055983,-1839.3650231480738,43.31870992970279,20
16.72345361709595,6.951285263187715,0.06436080932617187,0.006272396186749627,0.1,2,400,"{'model__learning_rate': 0.1, 'model__max_depth': 2, 'model__n_estimators': 400}",-1869.622526073509,-1895.4087883108134,-1843.2010176724266,-1763.0343182969666,-1796.075107694354,-1833.4683516096138,48.161550136565424,19
11.795023155212402,5.420916825473321,0.06002659797668457,0.003530792210773194,0.1,3,200,"{'model__learning_rate': 0.1, 'model__max_depth': 3, 'model__n_estimators': 200}",-1793.7446632365427,-1801.5874389920775,-1719.4473569327424,-1655.6528121321408,-1685.3676761964964,-1731.1599894979997,57.98676156170786,12
17.208806467056274,7.966728078986782,0.0737546443939209,0.018253110875503378,0.1,3,300,"{'model__learning_rate': 0.1, 'model__max_depth': 3, 'model__n_estimators': 300}",-1807.77503829245,-1801.831257979052,-1720.8577516040928,-1655.8290185912583,-1681.285443189476,-1733.515701931266,61.81409004104455,13
23.690838050842284,11.849408513028553,0.08897337913513184,0.04218414377418795,0.1,3,400,"{'model__learning_rate': 0.1, 'model__max_depth': 3, 'model__n_estimators': 400}",-1817.1203075374328,-1809.5215082926868,-1729.6278559639356,-1665.4905010542955,-1685.5341789662239,-1741.458870362915,62.28308422390067,16
15.962694025039672,8.313976082912456,0.07791628837585449,0.018193804121599672,0.1,4,200,"{'model__learning_rate': 0.1, 'model__max_depth': 4, 'model__n_estimators': 200}",-1755.2939659066676,-1770.6262759798688,-1686.6372565053907,-1618.5298562339851,-1633.3641711164078,-1692.8903051484638,61.723635100379106,6
24.756538343429565,11.416527148185741,0.12896366119384767,0.06044326367698597,0.1,4,300,"{'model__learning_rate': 0.1, 'model__max_depth': 4, 'model__n_estimators': 300}",-1786.8144931800712,-1781.9673312424081,-1691.0066481768781,-1626.3236757247805,-1643.1076493191229,-1705.843959528652,67.5728658619276,8
27.765112161636353,9.18639878939071,0.11215534210205078,0.040090619402841,0.1,4,400,"{'model__learning_rate': 0.1, 'model__max_depth': 4, 'model__n_estimators': 400}",-1805.0257644574133,-1792.8271269318095,-1697.0826739658305,-1628.6551252394627,-1643.019672310271,-1713.3220725809576,73.62779134869135,9
