iter	Passed	Remaining
0	7	7619
1	14	7319
2	21	7123
3	29	7301
4	36	7225
5	42	7030
6	48	6829
7	54	6711
8	59	6528
9	64	6355
10	70	6303
11	76	6282
12	81	6204
13	87	6176
14	93	6140
15	98	6088
16	105	6080
17	110	6034
18	116	5989
19	122	5984
20	127	5949
21	132	5909
22	139	5906
23	144	5874
24	150	5857
25	155	5843
26	161	5810
27	167	5818
28	173	5799
29	178	5764
30	183	5751
31	188	5710
32	193	5662
33	199	5654
34	204	5636
35	209	5606
36	215	5600
37	220	5580
38	224	5538
39	229	5518
40	235	5504
41	240	5485
42	245	5458
43	250	5442
44	255	5415
45	259	5388
46	264	5365
47	269	5337
48	274	5328
49	279	5308
50	284	5294
51	290	5289
52	295	5283
53	300	5257
54	305	5243
55	310	5228
56	315	5221
57	320	5202
58	325	5195
59	330	5181
60	335	5170
61	340	5153
62	346	5151
63	351	5139
64	356	5126
65	362	5128
66	367	5123
67	372	5106
68	378	5102
69	383	5090
70	387	5069
71	392	5063
72	398	5057
73	403	5046
74	408	5039
75	413	5031
76	419	5034
77	426	5038
78	431	5029
79	436	5018
80	441	5010
81	447	5005
82	451	4990
83	457	4986
84	463	4984
85	468	4976
86	473	4967
87	478	4958
88	482	4943
89	487	4929
90	492	4922
91	498	4917
92	502	4900
93	507	4894
94	513	4887
95	517	4876
96	523	4875
97	529	4871
98	533	4858
99	539	4853
100	544	4846
101	548	4832
102	554	4826
103	559	4819
104	563	4803
105	568	4791
106	573	4784
107	578	4777
108	583	4767
109	588	4759
110	593	4755
111	599	4750
112	604	4746
113	608	4732
114	613	4721
115	618	4712
116	623	4707
117	628	4695
118	632	4682
119	637	4676
120	642	4668
121	647	4658
122	652	4654
123	657	4645
124	662	4636
125	667	4630
126	672	4622
127	677	4615
128	682	4605
129	687	4601
130	691	4588
131	696	4581
132	702	4577
133	707	4570
134	711	4559
135	716	4554
136	721	4547
137	726	4537
138	731	4528
139	735	4520
140	740	4512
141	745	4504
142	751	4501
143	755	4493
144	760	4484
145	766	4481
146	771	4475
147	775	4464
148	780	4458
149	785	4450
150	790	4443
151	795	4436
152	800	4430
153	804	4421
154	808	4410
155	814	4404
156	818	4397
157	823	4389
158	828	4380
159	832	4372
160	837	4363
161	841	4354
162	847	4350
163	852	4344
164	856	4333
165	861	4328
166	866	4320
167	871	4315
168	875	4304
169	880	4297
170	885	4290
171	889	4280
172	893	4273
173	899	4269
174	904	4262
175	909	4258
176	914	4252
177	919	4245
178	923	4237
179	929	4232
180	933	4225
181	938	4218
182	943	4212
183	948	4206
184	953	4200
185	959	4198
186	964	4192
187	969	4189
188	975	4186
189	980	4179
190	985	4173
191	990	4168
192	995	4162
193	999	4154
194	1004	4146
195	1009	4140
196	1014	4134
197	1018	4126
198	1023	4121
199	1029	4117
200	1033	4110
201	1038	4103
202	1044	4101
203	1049	4096
204	1054	4090
205	1060	4087
206	1065	4082
207	1070	4077
208	1075	4072
209	1081	4067
210	1085	4059
211	1090	4053
212	1095	4046
213	1099	4040
214	1105	4035
215	1110	4030
216	1115	4024
217	1120	4019
218	1125	4013
219	1129	4005
220	1134	3999
221	1139	3994
222	1144	3988
223	1149	3981
224	1154	3976
225	1159	3971
226	1165	3967
227	1170	3963
228	1175	3959
229	1181	3954
230	1186	3951
231	1192	3947
232	1197	3941
233	1203	3939
234	1208	3934
235	1213	3928
236	1219	3924
237	1223	3918
238	1228	3911
239	1232	3904
240	1237	3898
241	1242	3892
242	1246	3884
243	1251	3878
244	1256	3872
245	1262	3869
246	1266	3861
247	1272	3857
248	1275	3848
249	1281	3843
250	1285	3836
251	1290	3830
252	1294	3823
253	1299	3817
254	1304	3811
255	1308	3802
256	1313	3797
257	1318	3793
258	1323	3787
259	1328	3780
260	1333	3775
261	1338	3769
262	1343	3764
263	1348	3760
264	1353	3754
265	1358	3747
266	1363	3743
267	1367	3736
268	1372	3729
269	1376	3721
270	1381	3716
271	1386	3710
272	1391	3704
273	1396	3699
274	1401	3694
275	1405	3687
276	1411	3683
277	1415	3675
278	1419	3668
279	1424	3663
280	1429	3657
281	1434	3652
282	1438	3644
283	1444	3640
284	1449	3635
285	1453	3628
286	1457	3621
287	1463	3617
288	1468	3612
289	1473	3607
290	1478	3603
291	1483	3598
292	1488	3591
293	1494	3587
294	1499	3583
295	1503	3576
296	1508	3569
297	1512	3563
298	1517	3557
299	1522	3553
300	1528	3548
301	1532	3542
302	1537	3536
303	1542	3531
304	1546	3524
305	1551	3518
306	1556	3513
307	1561	3508
308	1566	3502
309	1571	3497
310	1577	3493
311	1581	3487
312	1586	3481
313	1591	3476
314	1595	3469
315	1599	3462
316	1605	3459
317	1610	3454
318	1615	3448
319	1620	3444
320	1625	3437
321	1630	3432
322	1636	3429
323	1641	3424
324	1646	3419
325	1651	3414
326	1655	3408
327	1660	3402
328	1665	3396
329	1670	3391
330	1675	3385
331	1679	3379
332	1684	3374
333	1689	3369
334	1694	3363
335	1699	3358
336	1704	3353
337	1709	3347
338	1713	3341
339	1719	3337
340	1723	3331
341	1728	3325
342	1734	3321
343	1738	3315
344	1742	3309
345	1747	3302
346	1752	3297
347	1757	3292
348	1762	3287
349	1768	3283
350	1772	3278
351	1777	3272
352	1782	3266
353	1786	3260
354	1791	3254
355	1796	3250
356	1801	3245
357	1807	3240
358	1811	3235
359	1816	3230
360	1821	3224
361	1825	3218
362	1831	3213
363	1835	3207
364	1840	3201
365	1844	3195
366	1849	3189
367	1853	3183
368	1858	3177
369	1863	3172
370	1868	3167
371	1872	3161
372	1877	3156
373	1882	3150
374	1886	3144
375	1891	3138
376	1896	3134
377	1901	3128
378	1906	3123
379	1911	3118
380	1916	3113
381	1920	3106
382	1926	3102
383	1930	3096
384	1935	3091
385	1940	3087
386	1946	3082
387	1951	3078
388	1955	3071
389	1961	3067
390	1966	3062
391	1970	3056
392	1976	3052
393	1981	3047
394	1985	3041
395	1990	3036
396	1995	3031
397	2000	3025
398	2004	3019
399	2009	3014
400	2015	3010
401	2019	3003
402	2025	2999
403	2029	2994
404	2034	2988
405	2039	2983
406	2045	2979
407	2049	2974
408	2055	2969
409	2059	2963
410	2065	2959
411	2070	2954
412	2075	2949
413	2080	2945
414	2085	2939
415	2090	2935
416	2095	2929
417	2100	2924
418	2105	2919
419	2110	2914
420	2114	2908
421	2119	2903
422	2124	2898
423	2129	2893
424	2134	2887
425	2139	2883
426	2144	2877
427	2148	2871
428	2154	2867
429	2159	2862
430	2164	2857
431	2169	2852
432	2174	2847
433	2179	2842
434	2183	2836
435	2189	2831
436	2194	2826
437	2198	2821
438	2203	2816
439	2209	2811
440	2213	2806
441	2218	2801
442	2224	2796
443	2229	2791
444	2234	2787
445	2239	2782
446	2244	2776
447	2248	2770
448	2254	2766
449	2258	2760
450	2263	2754
451	2268	2750
452	2273	2745
453	2278	2740
454	2283	2735
455	2288	2729
456	2293	2724
457	2297	2719
458	2302	2714
459	2307	2708
460	2311	2702
461	2317	2698
462	2322	2693
463	2326	2687
464	2333	2684
465	2337	2678
466	2342	2673
467	2363	2687
468	2368	2681
469	2373	2676
470	2377	2670
471	2382	2665
472	2388	2661
473	2393	2655
474	2398	2651
475	2404	2646
476	2408	2640
477	2413	2635
478	2418	2630
479	2423	2624
480	2428	2620
481	2432	2614
482	2438	2609
483	2442	2603
484	2447	2598
485	2452	2593
486	2456	2587
487	2462	2583
488	2467	2578
489	2471	2572
490	2477	2567
491	2482	2563
492	2487	2557
493	2491	2552
494	2496	2547
495	2502	2542
496	2506	2537
497	2512	2532
498	2517	2527
499	2521	2521
500	2527	2516
501	2531	2511
502	2536	2506
503	2541	2501
504	2546	2496
505	2551	2490
506	2556	2485
507	2561	2481
508	2567	2476
509	2571	2470
510	2576	2465
511	2581	2460
512	2586	2455
513	2591	2450
514	2596	2445
515	2601	2439
516	2606	2434
517	2610	2429
518	2615	2423
519	2619	2418
520	2624	2413
521	2629	2407
522	2634	2402
523	2639	2397
524	2643	2392
525	2648	2386
526	2653	2381
527	2658	2376
528	2664	2372
529	2668	2366
530	2673	2361
531	2678	2356
532	2683	2350
533	2688	2345
534	2693	2340
535	2697	2334
536	2702	2330
537	2707	2324
538	2712	2319
539	2717	2314
540	2722	2309
541	2727	2304
542	2732	2299
543	2737	2294
544	2743	2290
545	2747	2284
546	2752	2279
547	2757	2274
548	2761	2268
549	2766	2263
550	2772	2259
551	2777	2253
552	2782	2248
553	2788	2244
554	2792	2238
555	2796	2233
556	2801	2228
557	2806	2223
558	2811	2217
559	2816	2213
560	2821	2207
561	2825	2202
562	2830	2197
563	2835	2192
564	2840	2186
565	2844	2181
566	2849	2176
567	2855	2171
568	2859	2166
569	2864	2161
570	2869	2155
571	2874	2150
572	2878	2145
573	2883	2140
574	2888	2134
575	2892	2129
576	2897	2124
577	2903	2119
578	2907	2114
579	2913	2109
580	2918	2104
581	2922	2099
582	2927	2094
583	2933	2089
584	2943	2087
585	2948	2083
586	2954	2078
587	2958	2073
588	2964	2068
589	2970	2064
590	2976	2059
591	2981	2055
592	2987	2050
593	2992	2045
594	2997	2040
595	3002	2035
596	3007	2030
597	3012	2025
598	3017	2020
599	3021	2014
600	3026	2009
601	3031	2004
602	3035	1998
603	3040	1993
604	3046	1988
605	3051	1984
606	3056	1978
607	3061	1973
608	3066	1969
609	3072	1964
610	3076	1958
611	3082	1954
612	3087	1949
613	3092	1944
614	3097	1939
615	3102	1934
616	3108	1929
617	3113	1924
618	3118	1919
619	3123	1914
620	3129	1909
621	3133	1904
622	3138	1899
623	3144	1894
624	3149	1889
625	3153	1884
626	3159	1879
627	3164	1874
628	3168	1869
629	3174	1864
630	3179	1859
631	3184	1854
632	3189	1849
633	3195	1844
634	3200	1839
635	3205	1834
636	3210	1829
637	3215	1824
638	3221	1819
639	3226	1814
640	3230	1809
641	3236	1804
642	3241	1799
643	3245	1794
644	3251	1789
645	3256	1784
646	3261	1779
647	3266	1774
648	3271	1769
649	3276	1764
650	3281	1758
651	3286	1753
652	3290	1748
653	3295	1743
654	3299	1738
655	3304	1733
656	3310	1728
657	3314	1722
658	3320	1718
659	3325	1713
660	3329	1707
661	3335	1702
662	3340	1697
663	3345	1692
664	3350	1687
665	3355	1682
666	3359	1677
667	3364	1672
668	3370	1667
669	3376	1662
670	3382	1658
671	3387	1653
672	3392	1648
673	3398	1643
674	3403	1638
675	3407	1633
676	3413	1628
677	3425	1626
678	3430	1621
679	3434	1616
680	3439	1611
681	3444	1605
682	3448	1600
683	3453	1595
684	3457	1590
685	3462	1585
686	3467	1579
687	3471	1574
688	3475	1568
689	3480	1563
690	3485	1558
691	3490	1553
692	3495	1548
693	3500	1543
694	3505	1538
695	3511	1533
696	3517	1528
697	3521	1523
698	3526	1518
699	3531	1513
700	3536	1508
701	3540	1503
702	3545	1498
703	3551	1493
704	3555	1487
705	3561	1483
706	3566	1478
707	3571	1473
708	3576	1468
709	3581	1463
710	3586	1457
711	3591	1452
712	3595	1447
713	3600	1442
714	3605	1437
715	3610	1432
716	3615	1426
717	3619	1421
718	3624	1416
719	3629	1411
720	3634	1406
721	3639	1401
722	3644	1396
723	3649	1391
724	3654	1386
725	3659	1381
726	3664	1376
727	3669	1371
728	3678	1367
729	3684	1362
730	3690	1358
731	3696	1353
732	3702	1348
733	3709	1344
734	3715	1339
735	3722	1335
736	3727	1330
737	3732	1325
738	3738	1320
739	3743	1315
740	3748	1310
741	3755	1305
742	3759	1300
743	3764	1295
744	3769	1290
745	3773	1284
746	3778	1279
747	3783	1274
748	3788	1269
749	3794	1264
750	3798	1259
751	3803	1254
752	3808	1249
753	3813	1244
754	3818	1239
755	3822	1233
756	3827	1228
757	3832	1223
758	3837	1218
759	3842	1213
760	3847	1208
761	3852	1203
762	3857	1198
763	3862	1193
764	3867	1188
765	3872	1183
766	3878	1178
767	3883	1173
768	3887	1167
769	3892	1162
770	3897	1157
771	3903	1152
772	3907	1147
773	3912	1142
774	3917	1137
775	3922	1132
776	3927	1127
777	3933	1122
778	3938	1117
779	3942	1112
780	3948	1107
781	3953	1102
782	3957	1096
783	3962	1091
784	3967	1086
785	3971	1081
786	3976	1076
787	3981	1071
788	3986	1066
789	3991	1060
790	3996	1055
791	4001	1050
792	4005	1045
793	4011	1040
794	4016	1035
795	4020	1030
796	4025	1025
797	4030	1020
798	4036	1015
799	4040	1010
800	4045	1005
801	4051	1000
802	4055	994
803	4061	990
804	4066	984
805	4070	979
806	4075	974
807	4080	969
808	4085	964
809	4089	959
810	4095	954
811	4100	949
812	4105	944
813	4110	939
814	4115	934
815	4119	928
816	4124	923
817	4129	918
818	4134	913
819	4139	908
820	4144	903
821	4149	898
822	4153	893
823	4159	888
824	4164	883
825	4168	878
826	4173	873
827	4178	868
828	4183	862
829	4189	858
830	4195	853
831	4199	847
832	4203	842
833	4207	837
834	4212	832
835	4217	827
836	4222	822
837	4227	817
838	4232	812
839	4237	807
840	4242	802
841	4247	797
842	4253	792
843	4258	787
844	4263	782
845	4268	777
846	4273	771
847	4278	766
848	4283	761
849	4288	756
850	4293	751
851	4298	746
852	4304	741
853	4309	736
854	4313	731
855	4319	726
856	4325	721
857	4329	716
858	4335	711
859	4340	706
860	4344	701
861	4349	696
862	4354	691
863	4359	686
864	4364	681
865	4369	676
866	4374	671
867	4379	665
868	4384	660
869	4389	655
870	4393	650
871	4399	645
872	4404	640
873	4409	635
874	4413	630
875	4419	625
876	4424	620
877	4429	615
878	4434	610
879	4439	605
880	4444	600
881	4449	595
882	4454	590
883	4459	585
884	4464	580
885	4469	575
886	4473	569
887	4478	564
888	4483	559
889	4488	554
890	4492	549
891	4498	544
892	4503	539
893	4508	534
894	4513	529
895	4518	524
896	4523	519
897	4529	514
898	4533	509
899	4538	504
900	4543	499
901	4548	494
902	4553	489
903	4557	484
904	4563	479
905	4568	473
906	4573	468
907	4578	463
908	4583	458
909	4588	453
910	4593	448
911	4598	443
912	4602	438
913	4607	433
914	4612	428
915	4617	423
916	4622	418
917	4627	413
918	4631	408
919	4636	403
920	4642	398
921	4647	393
922	4651	388
923	4656	383
924	4661	377
925	4666	372
926	4670	367
927	4675	362
928	4681	357
929	4685	352
930	4691	347
931	4696	342
932	4700	337
933	4706	332
934	4711	327
935	4715	322
936	4720	317
937	4726	312
938	4730	307
939	4735	302
940	4740	297
941	4745	292
942	4750	287
943	4755	282
944	4760	277
945	4764	271
946	4769	266
947	4774	261
948	4778	256
949	4783	251
950	4788	246
951	4793	241
952	4797	236
953	4803	231
954	4808	226
955	4812	221
956	4817	216
957	4822	211
958	4827	206
959	4832	201
960	4837	196
961	4842	191
962	4847	186
963	4853	181
964	4857	176
965	4862	171
966	4867	166
967	4872	161
968	4876	156
969	4881	150
970	4887	145
971	4892	140
972	4897	135
973	4902	130
974	4907	125
975	4911	120
976	4916	115
977	4921	110
978	4925	105
979	4931	100
980	4935	95
981	4940	90
982	4945	85
983	4950	80
984	4955	75
985	4960	70
986	4965	65
987	4970	60
988	4974	55
989	4980	50
990	4985	45
991	4989	40
992	4994	35
993	5000	30
994	5004	25
995	5009	20
996	5014	15
997	5019	10
998	5024	5
999	5030	0
